Nome Completo,Documento,Contato,dtNasc,Codigo,Observacao
Cliente Sintetico 01,529.982.247-25,(11) 99999-0001,01/02/2026,00101,nota 01
Cliente Sintetico 02,11144477735,(11) 99999-0002,02/03/2026,00102,nota 02
Cliente Sintetico 03,529.982.247-25,(11) 99999-0003,03/04/2026,00103,nota 03
Cliente Sintetico 04,11144477735,(11) 99999-0004,04/05/2026,00104,nota 04
Cliente Sintetico 05,529.982.247-25,(11) 99999-0005,05/06/2026,00105,nota 05
Cliente Sintetico 06,11144477735,(11) 99999-0006,06/07/2026,00106,nota 06
Cliente Sintetico 07,529.982.247-25,(11) 99999-0007,07/08/2026,00107,nota 07
Cliente Sintetico 08,11144477735,(11) 99999-0008,08/09/2026,00108,nota 08
Cliente Sintetico 09,529.982.247-25,(11) 99999-0009,09/10/2026,00109,nota 09
Cliente Sintetico 10,11144477735,(11) 99999-0010,10/11/2026,00110,nota 10
Cliente Sintetico 11,529.982.247-25,(11) 99999-0011,11/12/2026,00111,nota 11
Cliente Sintetico 12,11144477735,(11) 99999-0012,12/01/2026,00112,nota 12
Cliente Sintetico 13,529.982.247-25,(11) 99999-0013,2026-01-13,00113,nota 13
Cliente Sintetico 14,11144477735,(11) 99999-0014,2026-01-14,00114,nota 14
Cliente Sintetico 15,529.982.247-25,(11) 99999-0015,2026-01-15,00115,nota 15
Cliente Sintetico 16,11144477735,(11) 99999-0016,2026-01-16,00116,nota 16
Cliente Sintetico 17,529.982.247-25,(11) 99999-0017,2026-01-17,00117,nota 17
Cliente Sintetico 18,11144477735,(11) 99999-0018,2026-01-18,00118,nota 18
Cliente Sintetico 19,529.982.247-25,(11) 99999-0019,2026-01-19,00119,nota 19
Cliente Sintetico 20,SEM CPF,(11) 99999-0020,data desconhecida,00120,nota 20
