Documento,Vencto,Montante,Situacao,Contato
FAT-0001,01/02/2026,100.50,ABERTO,(11) 99999-0001
FAT-0002,02/03/2026,101.50,ABERTO,texto livre
FAT-0003,03/04/2026,102.50,PAGO,(11) 99999-0003
FAT-0004,04/05/2026,103.50,PAGO,texto livre
FAT-0005,05/06/2026,104.50,ABERTO,(11) 99999-0005
FAT-0006,06/07/2026,105.50,ABERTO,texto livre
FAT-0007,07/08/2026,106.50,PAGO,(11) 99999-0007
FAT-0008,08/09/2026,107.50,PAGO,texto livre
FAT-0009,09/10/2026,108.50,ABERTO,(11) 99999-0009
FAT-0010,10/11/2026,109.50,ABERTO,texto livre
FAT-0011,11/12/2026,110.50,PAGO,(11) 99999-0011
FAT-0012,12/01/2026,111.50,PAGO,texto livre
FAT-0013,01/03/2026,112.50,ABERTO,(11) 99999-0013
FAT-0014,02/04/2026,113.50,ABERTO,texto livre
FAT-0015,03/05/2026,114.50,PAGO,(11) 99999-0015
FAT-0016,04/06/2026,115.50,PAGO,texto livre
FAT-0017,05/07/2026,116.50,ABERTO,(11) 99999-0017
FAT-0018,06/08/2026,117.50,ABERTO,texto livre
FAT-0019,07/09/2026,118.50,PAGO,(11) 99999-0019
FAT-0020,data desconhecida,119.50,PAGO,texto livre
