Pedido,Emissao,Qtd,Total,Comprador,Contato
PED-0001,2026-02-01,1,10.50,C001,12345678901
PED-0002,2026-02-02,2,21.00,C002,12345678902
PED-0003,2026-02-03,3,31.50,C003,12345678903
PED-0004,2026-02-04,4,42.00,C004,12345678904
PED-0005,2026-02-05,5,52.50,C005,12345678905
PED-0006,2026-02-06,6,63.00,C006,12345678906
PED-0007,2026-02-07,7,73.50,C007,12345678907
PED-0008,2026-02-08,8,84.00,C008,12345678908
PED-0009,2026-02-09,9,94.50,C009,12345678909
PED-0010,2026-02-10,10,105.00,C010,12345678910
PED-0011,2026-02-11,11,115.50,C011,12345678911
PED-0012,2026-02-12,12,126.00,C012,12345678912
PED-0013,2026-02-13,13,136.50,C013,12345678913
PED-0014,2026-02-14,14,147.00,C014,12345678914
PED-0015,2026-02-15,15,157.50,C015,12345678915
PED-0016,2026-02-16,16,168.00,C016,12345678916
PED-0017,2026-02-17,17,178.50,C017,12345678917
PED-0018,2026-02-18,18,189.00,C018,12345678918
PED-0019,2026-02-19,19,199.50,C019,12345678919
PED-0020,2026-02-20,20,210.00,C020,12345678920
