Nome Completo;CPF Cliente;E-mail;Celular;Nascimento;Endereço Residencial;CEP
Cliente 01;529.982.247-25;cliente01@example.test;(11) 99999-0001;1990-01-01;Rua Exemplo 1;01001-001
Cliente 02;11144477735;cliente02@example.test;(11) 99999-0002;1990-01-02;Rua Exemplo 2;01001-002
Cliente 03;529.982.247-25;cliente03@example.test;(11) 99999-0003;1990-01-03;Rua Exemplo 3;01001-003
Cliente 04;11144477735;cliente04@example.test;(11) 99999-0004;1990-01-04;Rua Exemplo 4;01001-004
Cliente 05;529.982.247-25;cliente05@example.test;(11) 99999-0005;1990-01-05;Rua Exemplo 5;01001-005
Cliente 06;11144477735;cliente06@example.test;(11) 99999-0006;1990-01-06;Rua Exemplo 6;01001-006
Cliente 07;529.982.247-25;cliente07@example.test;(11) 99999-0007;1990-01-07;Rua Exemplo 7;01001-007
Cliente 08;11144477735;cliente08@example.test;(11) 99999-0008;1990-01-08;Rua Exemplo 8;01001-008
Cliente 09;529.982.247-25;cliente09@example.test;(11) 99999-0009;1990-01-09;Rua Exemplo 9;01001-009
Cliente 10;11144477735;cliente10@example.test;(11) 99999-0010;1990-01-10;Rua Exemplo 10;01001-010
Cliente 11;529.982.247-25;cliente11@example.test;(11) 99999-0011;1990-01-11;Rua Exemplo 11;01001-011
Cliente 12;11144477735;cliente12@example.test;(11) 99999-0012;1990-01-12;Rua Exemplo 12;01001-012
Cliente 13;529.982.247-25;cliente13@example.test;(11) 99999-0013;1990-01-13;Rua Exemplo 13;01001-013
Cliente 14;11144477735;cliente14@example.test;(11) 99999-0014;1990-01-14;Rua Exemplo 14;01001-014
Cliente 15;529.982.247-25;cliente15@example.test;(11) 99999-0015;1990-01-15;Rua Exemplo 15;01001-015
Cliente 16;11144477735;cliente16@example.test;(11) 99999-0016;1990-01-16;Rua Exemplo 16;01001-016
Cliente 17;529.982.247-25;cliente17@example.test;(11) 99999-0017;1990-01-17;Rua Exemplo 17;01001-017
Cliente 18;11144477735;cliente18@example.test;(11) 99999-0018;1990-01-18;Rua Exemplo 18;01001-018
Cliente 19;529.982.247-25;cliente19@example.test;(11) 99999-0019;1990-01-19;Rua Exemplo 19;01001-019
Cliente 20;11144477735;cliente20@example.test;(11) 99999-0020;1990-01-20;Rua Exemplo 20;01001-020
